variable,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
taken50up,v6287,v6286,v6287,v6287,v6287,v6287,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
building,v6291,v6291,v6291,v6291,v6291,v6291,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
damaged,v6293,v6293,v6293,v6293,v6293,v6293,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
taken50under,v6286,v6286,v6286,v6286,v6286,v6286,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fight,v6282,v6282,v6282,v6282,v6282,v6282,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
gang,v6283,v6283,v6283,v6283,v6283,v6283,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
hurt,v6284,v6284,v6284,v6284,v6284,v6284,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
nolifemean,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354,v6354
enjoylife,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358,v6358
fut_nohope,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362,v6362
goodalive,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367,v6367
pos_att,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353,v6353
eq_worth,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357,v6357
wellothers,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361,v6361
satisfied,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365,v6365
notproud,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356,v6356
nogood,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360,v6360
nothingright,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364,v6364
notuseful,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366,v6366
